"","council_id","share_above_60","share_council_rent","share_high_skill"
"1",1,19.1120376586914,18.0572414398193,20.2
"2",2,21.0944156646729,20.2530956268311,20.2
"3",3,20.6405601501465,14.2948312759399,20.2
"4",4,21.1042747497559,22.0945262908936,20.2
"5",5,22.5533809661865,16.9964828491211,21.4
"6",6,21.2450218200684,27.3551979064941,21.4
"7",7,21.1080703735352,23.1771450042725,21.4
"8",8,22.8213729858398,8.52974224090576,22.3
"9",9,24.1186580657959,9.5280818939209,22.3
"10",10,13.4272260665894,28.5988159179688,26
"11",11,19.5445919036865,18.3289661407471,26
"12",12,20.7340240478516,10.6402387619019,26
"13",13,18.6635494232178,17.136474609375,26
"14",14,18.7013397216797,16.4166088104248,26
"15",15,16.3842716217041,9.68412399291992,26.3
"16",16,25.5805435180664,7.74788856506348,26.3
"17",17,24.5555095672607,4.19047975540161,26.3
"18",18,20.8782978057861,5.47123003005981,26.3
"19",19,19.7797222137451,10.0930414199829,26.3
"20",20,19.5455379486084,11.7806959152222,26.3
"21",28,18.8923034667969,27.8747329711914,20.9
"22",29,22.7800064086914,9.00949001312256,20.9
"23",30,20.8452835083008,13.9919118881226,20.9
"24",31,19.9246654510498,10.4862194061279,31.5
"25",32,22.6493053436279,6.48194551467896,31.5
"26",33,20.214994430542,21.7459754943848,20.8
"27",34,19.7643184661865,26.4683723449707,20.8
"28",35,16.9426078796387,11.7328538894653,26.3
"29",36,18.9910659790039,20.9128227233887,26.3
"30",37,18.2125053405762,12.6200151443481,26.3
"31",38,19.7663249969482,25.7034149169922,26.3
"32",39,18.5530166625977,14.2492294311523,25.1
"33",40,22.079683303833,21.6086978912354,25.1
"34",41,20.2969799041748,11.0626020431519,25.1
"35",42,16.040958404541,26.8706092834473,25.1
"36",43,20.3054180145264,15.8534240722656,25.1
"37",44,21.0142478942871,9.11093044281006,25.1
"38",45,14.8484554290771,21.1042938232422,24.1
"39",46,19.4487800598145,8.72200393676758,24.1
"40",47,16.6280555725098,13.0756969451904,24.1
"41",48,17.6436252593994,13.6507587432861,24.1
"42",49,22.2362957000732,10.3419761657715,24.4
"43",50,23.7473907470703,8.02482414245605,30.9
"44",51,20.7861957550049,7.76824808120728,30.9
"45",52,19.8649234771729,9.24190807342529,30.9
"46",53,16.2505035400391,9.10174369812012,23.5
"47",54,21.9998760223389,9.75865459442139,23.5
"48",56,20.0030879974365,8.67399501800537,23.5
"49",57,17.1685256958008,19.3921585083008,23.1
"50",58,21.2155380249023,13.5907573699951,23.1
"51",59,18.866418838501,8.2907657623291,23.1
"52",60,21.6476802825928,19.3786602020264,23.1
"53",61,19.740442276001,26.5581398010254,23.1
"54",62,20.3595676422119,22.2415199279785,23.1
"55",63,20.7347564697266,24.9129962921143,23.1
"56",64,15.7506074905396,15.8075866699219,25.4
"57",65,17.350492477417,9.12313270568848,25.4
"58",66,21.6779747009277,10.1975774765015,25.4
"59",67,22.125919342041,16.1780319213867,25.4
"60",68,27.5946979522705,11.3540849685669,25.4
"61",69,22.8472747802734,5.40473890304565,25.4
"62",71,18.228199005127,14.3779859542847,31.8
"63",72,18.265926361084,1.41282272338867,31.8
"64",73,16.7598991394043,8.74449729919434,31.8
"65",74,22.007625579834,8.15745735168457,20.5
"66",75,15.6513748168945,18.4047183990479,20.5
"67",76,22.0529632568359,10.911735534668,20.5
"68",77,19.3738079071045,18.1393432617188,20.5
"69",78,19.4801349639893,7.88546657562256,20.5
"70",79,20.2463874816895,11.3707323074341,20.5
"71",101,16.3556995391846,7.56654167175293,36.8
"72",102,15.0036945343018,11.0542688369751,36.8
"73",103,17.6429100036621,6.53848361968994,36.8
"74",104,18.6773204803467,10.2892236709595,35.2
"75",105,26.4700355529785,5.44078874588013,35.2
"76",106,19.3843536376953,6.5181040763855,35.2
"77",107,20.4487152099609,8.13475704193115,35.2
"78",108,27.7712783813477,6.1100001335144,35.2
"79",109,19.116735458374,7.25622940063477,35.2
"80",110,17.7453956604004,13.3258800506592,26.7
"81",111,16.9654083251953,19.0929317474365,26.7
"82",112,27.2252559661865,0.912741839885712,26.7
"83",113,20.8127498626709,7.03448295593262,26.7
"84",114,22.2070503234863,6.30631542205811,26.7
"85",115,15.5062255859375,0.773241639137268,26.7
"86",116,16.1788387298584,4.28158187866211,24.1
"87",117,18.0628204345703,9.50204849243164,24.1
"88",118,23.2237701416016,8.81695175170898,24.1
"89",119,18.4914627075195,11.3631715774536,24.1
"90",120,19.5163459777832,1.06861639022827,24.1
"91",122,20.7019901275635,6.63073968887329,34.4
"92",123,21.2116241455078,8.46253395080566,34.4
"93",124,15.6720342636108,13.4350805282593,34.4
"94",125,19.7479305267334,4.302170753479,34.4
"95",126,23.3532447814941,7.08522891998291,25.4
"96",127,27.754810333252,2.22264552116394,25.4
"97",128,23.3429317474365,7.45630025863647,25.4
"98",129,24.4791164398193,6.31447219848633,22.9
"99",131,28.3050422668457,1.72239637374878,26.3
"100",132,25.2019367218018,6.81836462020874,26.3
"101",133,23.8878288269043,15.5028924942017,23
"102",134,23.6884002685547,14.6942348480225,23
"103",135,26.8637351989746,8.58185577392578,23
"104",136,23.6943206787109,12.8989887237549,23
"105",137,20.9397964477539,11.6552534103394,23
"106",138,20.539306640625,20.2590427398682,23
"107",139,21.5179748535156,13.93137550354,23
"108",140,21.9840774536133,14.3061447143555,23
"109",141,20.6151218414307,14.5026597976685,32.3
"110",142,17.6067790985107,9.92323017120361,32.3
"111",143,19.9074306488037,18.1215667724609,32.3
"112",144,24.4284687042236,10.9050397872925,32.3
