"","council_id","leave_share","BNP_vote_share","Conservative_vote_share","Green_vote_share","LD_vote_share","Labour_vote_share","UKIP_vote_share","agriculture","eu_eco_dependence","fiscal_cuts","eu_15_imm_growth","immigrant_share","median_wage_growth","unemployment"
"1",1,64.1934272941337,1.68394422531128,21.2768402099609,3.97082281112671,3.68496298789978,30.3898544311523,34.983325958252,0.4125,8.8,69.5629653930664,0.0973713472485542,3.52112676056338,-1.35741412639618,8.1
"2",2,65.8638641923743,1.61725556850433,17.2299213409424,4.26984834671021,5.59706258773804,31.1647529602051,36.313907623291,0.342857142857143,8.8,112.11954498291,0.0434327162802219,5.88235294117647,-2.23385643959045,9.7
"3",3,56.1831562919189,1.32642042636871,26.200044631958,4.89090538024902,5.11125516891479,28.2652854919434,30.6632099151611,0.855555555555556,8.8,-9.4536247253418,0.210552126169205,7.69230769230769,8.68317699432373,6.7
"4",4,57.5460549443152,2.1009202003479,15.5061883926392,5.54563188552856,5.234619140625,39.4178733825684,28.1497917175293,0.79,8.8,8.91362857818604,0.15482197701931,4.1015625,-0.312142580747604,6.9
"5",5,54.1061207132906,1.22706425189972,25.3873596191406,5.59760427474976,9.66488265991211,27.6975040435791,27.3764019012451,2.32,8.9,-101.431228637695,0.0820339173078537,2.57234726688103,-0.74575012922287,5.1
"6",6,54.6006850379975,1.75173151493073,14.7285480499268,5.91256380081177,6.72405529022217,40.3457412719727,26.4846019744873,0.188888888888889,8.9,-15.0487041473389,0.20160199701786,7.75656324582339,2.04142689704895,8
"7",7,61.3397456895268,1.66083407402039,15.9842519760132,3.84660243988037,2.84339451789856,42.1391067504883,30.0277061462402,0.5,8.9,62.6653861999512,-0.105766594409943,5.09090909090909,-2.34585404396057,7.9
"8",8,60.193826554082,2.39285898208618,23.3442668914795,5.38258838653564,3.88055396080017,31.1358451843262,29.9044647216797,1.71,14.3,-38.5804023742676,0.0979598835110664,3.04347826086957,3.15142273902893,6.5
"9",9,53.3432866294056,1.39135992527008,28.8358383178711,8.04864025115967,18.8096008300781,15.2768001556396,24.5055999755859,4.37,14.3,-186.933715820312,0.244841113686562,4.63320463320463,-8.86911964416504,3.3
"10",10,39.6360014666971,1.62850153446198,8.23348522186279,12.4148216247559,6.92431545257568,51.4215278625488,15.8992691040039,0.14,9.5,49.5315628051758,1.06843101978302,26.4875239923225,-0.315918266773224,8.2
"11",11,49.0813436200165,2.06421613693237,22.503625869751,7.72551679611206,4.69298934936523,33.6217269897461,25.1848373413086,0.14,9.5,-15.8480939865112,0.394840598106384,13.8947368421053,-4.81395149230957,7.4
"12",12,53.1122010231894,1.91740524768829,19.6003913879395,7.09693813323975,10.0439777374268,29.0597400665283,28.4034309387207,0.14,9.5,-15.096248626709,0.11435554176569,8.49802371541502,-7.16284227371216,4.8
"13",13,61.3307317332165,2.39505791664124,16.3390235900879,4.95475816726685,2.59628772735596,37.5251541137695,31.8801651000977,0.328571428571429,9.5,18.5060710906982,0.168014347553253,7.83333333333333,-4.20105028152466,5.8
"14",14,58.4148853565722,2.40007019042969,16.9810123443604,5.0138840675354,5.99547433853149,36.983268737793,28.9042682647705,0.328571428571429,9.5,59.6113090515137,0.131954550743103,12.96,-6.2753005027771,7.9
"15",15,56.3356347881998,2.45365881919861,18.2786083221436,3.88347029685974,2.80600523948669,45.940357208252,23.6557216644287,0.3,13.8,116.751426696777,0.061104241758585,15.8620689655172,-6.74427366256714,7.5
"16",16,67.4555859369163,3.78345322608948,22.3918037414551,4.68267297744751,2.49273586273193,28.270378112793,33.8828582763672,0.4,13.8,358.420715332031,0.0597400926053524,6.61764705882353,-4.84273052215576,7.3
"17",17,56.9563299514777,1.77501165866852,27.8361759185791,10.49485206604,3.41632103919983,22.4051036834717,30.686954498291,0.9,13.8,-69.3490219116211,0.160312607884407,5.24193548387097,-6.98331737518311,2.3
"18",18,56.2261684279333,1.50977730751038,27.8097515106201,6.53998327255249,5.39615058898926,24.0358180999756,31.0899639129639,0.9,13.8,-135.324981689453,0.0781863033771515,7.63157894736842,-8.77068996429443,4
"19",19,64.216710886452,3.4669201374054,20.8456344604492,4.6274619102478,6.31850433349609,31.0314807891846,30.0564441680908,0.9,13.8,69.0955657958984,0.0944964960217476,10.7692307692308,-5.81319141387939,5
"20",20,56.0674810023237,1.31786870956421,25.4424514770508,5.84823989868164,2.53302574157715,32.0049324035645,29.4276599884033,0.9,13.8,-112.861366271973,0.150363698601723,6.78733031674208,-4.85633230209351,4.8
"21",28,67.6158969608751,1.54539597034454,8.242112159729,6.58201885223389,11.8379745483398,31.8073902130127,35.765453338623,0.85,14.7,71.8357925415039,0.150663614273071,10.1960784313725,-2.77644062042236,9.9
"22",29,60.3956463816203,1.04001522064209,29.0364170074463,6.7334771156311,5.86620616912842,15.2985153198242,37.9611434936523,2.76,14.7,-156.024169921875,0.113653369247913,3.91566265060241,-9.36461639404297,4.4
"23",30,67.9797907580849,1.57519555091858,23.8521690368652,5.09793043136597,3.75250864028931,23.1559276580811,38.631046295166,0.96,14.7,-43.6638031005859,0.158286899328232,5.52147239263804,-8.65955829620361,6.6
"24",31,41.9552919708029,0.737843573093414,23.1564483642578,15.7632141113281,10.4101476669312,22.5052852630615,23.8773784637451,0.65,11,-235.412979125977,0.406418800354004,9.80392156862745,-3.24142694473267,3.7
"25",32,54.9412469419859,0.920564293861389,33.7792282104492,8.30965232849121,7.7230372428894,13.5469760894775,31.3603038787842,3.58,11,-202.174575805664,0.0900537148118019,6.13287904599659,-1.97368788719177,3.5
"26",33,68.4094896932521,2.41117691993713,12.0574607849121,4.3310809135437,2.28770184516907,34.939208984375,37.4181671142578,0.37,9.4,28.524621963501,0.103305779397488,5.26976160602258,-4.73147916793823,7.9
"27",34,50.9902419091819,1.56462001800537,10.8329095840454,12.2173223495483,10.1050148010254,33.6181297302246,27.6592884063721,0.45,9.4,-84.1967163085938,0.281937688589096,10.8540925266904,-2.28262662887573,7.7
"28",35,54.23173208221,1.42871558666229,16.513313293457,6.82755279541016,6.97430658340454,39.449634552002,24.781229019165,0.666666666666667,9.9,32.1206283569336,0.110121563076973,16.1904761904762,-2.08727931976318,9
